transaction_id,customer_id,transaction_timestamp,transaction_amount,payment_method,device_type,location,merchant_category,is_international,transaction_frequency_24h,avg_transaction_amount_7d,failed_transaction_count_24h,account_age_days,previous_fraud_flag,unusual_amount_flag,unusual_location_flag,multiple_transactions_short_time,high_risk_device_flag,velocity_flag,fraud_flag,fraud_risk
T0000001,C20953,2026-03-04 19:56:23.679173,56.31,Debit Card,Tablet,Canada,Fashion,0,13,53.02,4,1054,0,0,0,1,0,1,0,Medium
T0000002,C24133,2026-03-09 19:56:23.679330,20.35,Credit Card,Tablet,India,Electronics,0,3,38.0,2,97,0,0,0,0,0,0,0,Low
T0000003,C07165,2026-01-01 19:56:23.679362,48.72,Debit Card,Tablet,UK,Travel,0,8,147.45,4,779,1,0,0,0,0,0,0,Medium
T0000004,C19310,2025-12-09 19:56:23.679385,153.62,Debit Card,Mobile,Australia,Fashion,0,14,58.22,3,286,1,1,0,1,0,1,1,High
T0000005,C25019,2025-11-09 19:56:23.679409,115.32,PayPal,Mobile,India,Gaming,0,10,114.46,3,866,0,0,0,1,0,0,0,Low
T0000006,C08668,2026-04-08 19:56:23.679445,41.31,Credit Card,Tablet,USA,Gaming,1,11,91.97,3,709,1,0,1,1,0,1,1,High
T0000007,C09607,2025-06-13 19:56:23.679479,54.75,Credit Card,Tablet,UK,Luxury,1,14,36.31,2,1909,0,0,1,1,0,1,1,Medium
T0000008,C07468,2025-12-03 19:56:23.679515,86.64,PayPal,Mobile,USA,Fashion,0,9,28.36,2,656,1,1,0,1,0,0,1,Medium
T0000009,C12131,2025-10-31 19:56:23.679541,22.44,Google Pay,Tablet,Canada,Luxury,0,7,22.39,0,325,0,0,0,0,0,0,0,Low
T0000010,C05608,2025-07-31 19:56:23.679563,99.42,Google Pay,Mobile,India,Fashion,0,10,74.83,4,907,1,0,0,1,0,0,1,Medium
T0000011,C22434,2025-11-15 19:56:23.679583,138.33,Credit Card,Mobile,USA,Fashion,0,12,41.97,4,785,1,1,0,1,0,1,1,High
